             id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
2080506  749999   2                 5                   10  ...                      1                      3            0            1
2080507  749999   3                 5                    3  ...                      1                      3            0            1

[2080508 rows x 61 columns]
             id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        750000   1                10                   11  ...                      1                      3            0            0
1        750000   2                 0                    2  ...                      1                      4            0            1
2        750000   3                17                   13  ...                      1                      4            0            0
3        750000   4                 3                   16  ...                      1                      2            0            0
4        750000   5                11                   16  ...                      1                      3            0            1
...         ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2112587  999998  16                 2                    1  ...                      1                      3            0            0
2112588  999998  17                 7                    2  ...                      1                      4            0            0
2112589  999998  18                 7                    2  ...                      1                      4            0            1
2112590  999999   1                 0                    8  ...                      1                      3            0            1
2112591  999999   2                 5                   16  ...                      1                      3            0            1

[2112592 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        1000000   1                 8                   14  ...                      1                      4            0            0
1        1000000   2                 8                    0  ...                      1                      4            0            0
2        1000000   3                14                    2  ...                      1                      3            0            1
3        1000000   4                10                    6  ...                      1                      4            0            0
4        1000000   5                17                   16  ...                      1                      4            0            1
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2064105  1249999  11                 7                    2  ...                      1                      4            0            1
2064106  1249999  12                 7                    5  ...                      1                      4            0            0
2064107  1249999  13                 7                    9  ...                      1                      3            1            1
2064108  1249999  14                19                    9  ...                      1                      3            1            1
2064109  1249999  15                19                   10  ...                      1                      4            0            1

[2064110 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        1250000   1                17                    3  ...                      1                      4            0            0
1        1250000   2                 9                   10  ...                      1                      4            0            0
2        1250001   1                16                    5  ...                      1                      4            0            0
3        1250001   2                18                    5  ...                      1                      4            0            0
4        1250001   3                 5                   12  ...                      1                      4            0            1
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2150903  1499999   4                 4                   17  ...                      1                      5            0            0
2150904  1499999   5                 5                    8  ...                      1                      5            0            0
2150905  1499999   6                 2                    0  ...                      1                      4            0            1
2150906  1499999   7                 2                    6  ...                      1                      4            0            0
2150907  1499999   8                12                    9  ...                      1                      3            0            1

[2150908 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        1500000   1                16                    5  ...                      1                      4            0            0
1        1500000   2                16                   11  ...                      1                      3            1            0
2        1500000   3                16                    1  ...                      1                      3            1            1
3        1500000   4                16                    9  ...                      1                      4            0            0
4        1500000   5                16                    7  ...                      1                      4            0            0
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2176447  1749998   8                 4                   10  ...                      1                      1            1            1
2176448  1749998   9                 1                    3  ...                      1                      3            1            1
2176449  1749998  10                 1                    9  ...                      1                      4            0            0
2176450  1749998  11                 1                    2  ...                      1                      4            0            0
2176451  1749999   1                19                   10  ...                      1                      3            0            1

[2176452 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        1750000   1                10                    4  ...                      1                      4            0            0
1        1750000   2                10                   14  ...                      1                      4            0            0
2        1750000   3                10                    4  ...                      1                      4            0            0
3        1750000   4                 0                    4  ...                      1                      4            0            0
4        1750000   5                 0                    8  ...                      1                      3            1            1
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2222240  1999998  15                 1                   16  ...                      1                      4            0            0
2222241  1999998  16                 9                   13  ...                      1                      3            0            0
2222242  1999998  17                 9                    9  ...                      1                      3            1            1
2222243  1999998  18                19                    9  ...                      1                      4            0            0
2222244  1999999   1                 7                    2  ...                      1                      4            0            0

[2222245 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        2000000   1                 8                   13  ...                      1                      7            0            0
1        2000000   2                15                   13  ...                      1                      4            0            0
2        2000000   3                14                   13  ...                      1                      4            0            0
3        2000000   4                14                    4  ...                      1                      4            0            0
4        2000000   5                10                   14  ...                      1                      4            0            0
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2242610  2249999  22                19                    0  ...                      1                      5            0            0
2242611  2249999  23                19                    0  ...                      1                      5            0            1
2242612  2249999  24                12                    0  ...                      1                      5            0            1
2242613  2249999  25                12                    2  ...                      1                      5            0            0
2242614  2249999  26                12                    6  ...                      1                      4            0            0

[2242615 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        2250000   1                 4                    2  ...                      1                      5            0            0
1        2250000   2                 3                   17  ...                      1                      4            0            0
2        2250000   3                 3                    3  ...                      1                      4            0            0
3        2250000   4                11                   17  ...                      1                      4            0            0
4        2250000   5                11                    6  ...                      1                      3            1            1
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2284251  2499999  11                 3                    9  ...                      1                      4            1            0
2284252  2499999  12                 3                    9  ...                      1                      4            0            0
2284253  2499999  13                 2                    9  ...                      1                      3            1            1
2284254  2499999  14                 2                    9  ...                      1                      4            1            0
2284255  2499999  15                 7                    9  ...                      1                      4            0            0

[2284256 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        2500000   1                10                    3  ...                      1                      4            0            0
1        2500000   2                 4                   17  ...                      1                      4            0            0
2        2500000   3                 3                    3  ...                      1                      3            0            0
3        2500000   4                 3                    3  ...                      1                      3            0            0
4        2500000   5                 9                    6  ...                      1                      0            0            1
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2296367  2749999  14                 3                    5  ...                      1                      4            0            0
2296368  2749999  15                11                    9  ...                      1                      3            1            1
2296369  2749999  16                11                    3  ...                      1                      3            0            1
2296370  2749999  17                 2                    3  ...                      1                      3            0            1
2296371  2749999  18                19                    5  ...                      1                      4            0            1

[2296372 rows x 61 columns]
              id  rn  pre_since_opened  pre_since_confirmed  ...  enc_loans_account_cur  enc_loans_credit_type  pclose_flag  fclose_flag
0        2750000   1                 2                    2  ...                      1                      4            0            0
1        2750000   2                 1                    2  ...                      1                      3            0            0
2        2750000   3                 9                    2  ...                      1                      3            1            1
3        2750000   4                 9                    2  ...                      1                      4            0            0
4        2750000   5                 9                    2  ...                      1                      3            0            0
...          ...  ..               ...                  ...  ...                    ...                    ...          ...          ...
2450625  2999999   8                 6                    5  ...                      1                      4            0            0
2450626  2999999   9                 5                    3  ...                      1                      4            0            0
2450627  2999999  10                 3                   16  ...                      1                      4            0            0
2450628  2999999  11                 3                    6  ...                      1                      3            1            1
2450629  2999999  12                 2                    2  ...                      1                      4            0            0

[2450630 rows x 61 columns]
